"instance","opt","time"
"20_03_02_02_001",137,0.042
"20_03_02_02_002",104,0.013
"20_03_02_02_003",148,0.108
"20_03_02_02_004",125,4.467
"20_03_02_02_005",114,0.052
"20_03_02_04_001",32,0.031
"20_03_02_04_002",21,0.041
"20_03_02_04_003",38,0.033
"20_03_02_04_004",42,0.029
"20_03_02_04_005",36,0.017
"20_03_02_06_001",0,0.000
"20_03_02_06_002",0,0.000
"20_03_02_06_003",0,0.001
"20_03_02_06_004",0,0.001
"20_03_02_06_005",0,0.000
"20_03_02_08_001",0,0.000
"20_03_02_08_002",0,0.000
"20_03_02_08_003",0,0.000
"20_03_02_08_004",0,0.001
"20_03_02_08_005",0,0.000
"20_03_02_10_001",0,0.000
"20_03_02_10_002",0,0.000
"20_03_02_10_003",0,0.000
"20_03_02_10_004",13,0.001
"20_03_02_10_005",0,0.000
"20_03_04_02_001",562,0.411
"20_03_04_02_002",335,0.066
"20_03_04_02_003",622,1.629
"20_03_04_02_004",448,0.636
"20_03_04_02_005",380,1.013
"20_03_04_04_001",413,0.034
"20_03_04_04_002",217,3.650
"20_03_04_04_003",463,1.057
"20_03_04_04_004",366,0.621
"20_03_04_04_005",278,0.323
"20_03_04_06_001",317,0.417
"20_03_04_06_002",125,0.019
"20_03_04_06_003",347,0.210
"20_03_04_06_004",319,0.297
"20_03_04_06_005",194,0.750
"20_03_04_08_001",240,0.157
"20_03_04_08_002",43,0.013
"20_03_04_08_003",229,0.047
"20_03_04_08_004",312,0.871
"20_03_04_08_005",104,0.668
"20_03_04_10_001",278,1.089
"20_03_04_10_002",0,0.000
"20_03_04_10_003",166,0.043
"20_03_04_10_004",342,0.546
"20_03_04_10_005",26,0.015
"20_03_06_02_001",1285,1.146
"20_03_06_02_002",719,0.116
"20_03_06_02_003",1394,0.061
"20_03_06_02_004",923,0.114
"20_03_06_02_005",821,0.647
"20_03_06_04_001",1209,1.061
"20_03_06_04_002",585,1.343
"20_03_06_04_003",1296,0.580
"20_03_06_04_004",921,0.441
"20_03_06_04_005",720,0.691
"20_03_06_06_001",1210,0.442
"20_03_06_06_002",422,0.883
"20_03_06_06_003",1258,0.023
"20_03_06_06_004",954,0.467
"20_03_06_06_005",646,0.193
"20_03_06_08_001",1241,0.017
"20_03_06_08_002",283,0.719
"20_03_06_08_003",1253,1.020
"20_03_06_08_004",1015,1.165
"20_03_06_08_005",573,0.152
"20_03_06_10_001",1020,0.411
"20_03_06_10_002",145,0.808
"20_03_06_10_003",948,0.262
"20_03_06_10_004",852,0.050
"20_03_06_10_005",401,0.769
"20_03_08_02_001",2307,0.027
"20_03_08_02_002",1341,0.057
"20_03_08_02_003",2511,1.127
"20_03_08_02_004",1660,0.807
"20_03_08_02_005",1443,0.431
"20_03_08_04_001",2336,0.027
"20_03_08_04_002",1183,0.023
"20_03_08_04_003",2518,1.042
"20_03_08_04_004",1716,0.025
"20_03_08_04_005",1390,1.065
"20_03_08_06_001",2030,0.026
"20_03_08_06_002",920,0.102
"20_03_08_06_003",2194,0.031
"20_03_08_06_004",1527,0.849
"20_03_08_06_005",1156,0.028
"20_03_08_08_001",1758,0.018
"20_03_08_08_002",693,0.012
"20_03_08_08_003",1851,1.028
"20_03_08_08_004",1350,1.049
"20_03_08_08_005",976,0.130
"20_03_08_10_001",1499,0.816
"20_03_08_10_002",472,0.820
"20_03_08_10_003",1556,0.462
"20_03_08_10_004",1180,0.925
"20_03_08_10_005",776,0.047
"20_03_10_02_001",3311,0.032
"20_03_10_02_002",2070,0.072
"20_03_10_02_003",3601,0.053
"20_03_10_02_004",2394,0.018
"20_03_10_02_005",2103,0.787
"20_03_10_04_001",2974,0.067
"20_03_10_04_002",1760,0.025
"20_03_10_04_003",3207,0.046
"20_03_10_04_004",2129,0.012
"20_03_10_04_005",1845,0.053
"20_03_10_06_001",2655,1.292
"20_03_10_06_002",1468,0.856
"20_03_10_06_003",2861,0.358
"20_03_10_06_004",1911,0.025
"20_03_10_06_005",1610,0.789
"20_03_10_08_001",2336,0.027
"20_03_10_08_002",1183,0.022
"20_03_10_08_003",2518,1.040
"20_03_10_08_004",1716,0.025
"20_03_10_08_005",1390,1.070
"20_03_10_10_001",2030,0.032
"20_03_10_10_002",920,0.102
"20_03_10_10_003",2194,0.032
"20_03_10_10_004",1527,0.845
"20_03_10_10_005",1156,0.030
