"instance","opt","time"
"25_04_02_02_001",152,4703.301
"25_04_02_02_002",142,0.024
"25_04_02_02_003",146,0.033
"25_04_02_02_004",129,0.027
"25_04_02_02_005",181,384.850
"25_04_02_04_001",20,0.031
"25_04_02_04_002",39,0.041
"25_04_02_04_003",44,0.018
"25_04_02_04_004",36,0.037
"25_04_02_04_005",89,0.035
"25_04_02_06_001",0,0.000
"25_04_02_06_002",0,0.000
"25_04_02_06_003",0,0.000
"25_04_02_06_004",0,0.001
"25_04_02_06_005",1,0.017
"25_04_02_08_001",0,0.000
"25_04_02_08_002",0,0.000
"25_04_02_08_003",0,0.000
"25_04_02_08_004",0,0.000
"25_04_02_08_005",0,0.001
"25_04_02_10_001",0,0.000
"25_04_02_10_002",0,0.000
"25_04_02_10_003",0,0.000
"25_04_02_10_004",0,0.000
"25_04_02_10_005",0,0.000
"25_04_04_02_001",552,1.357
"25_04_04_02_002",462,0.047
"25_04_04_02_003",490,0.042
"25_04_04_02_004",364,0.290
"25_04_04_02_005",602,0.039
"25_04_04_04_001",413,1.487
"25_04_04_04_002",317,991.873
"25_04_04_04_003",342,8.675
"25_04_04_04_004",271,497.417
"25_04_04_04_005",486,0.120
"25_04_04_06_001",292,0.057
"25_04_04_06_002",182,0.047
"25_04_04_06_003",201,0.457
"25_04_04_06_004",168,0.035
"25_04_04_06_005",395,0.821
"25_04_04_08_001",155,1.077
"25_04_04_08_002",77,0.013
"25_04_04_08_003",125,0.296
"25_04_04_08_004",79,0.011
"25_04_04_08_005",274,0.155
"25_04_04_10_001",106,0.015
"25_04_04_10_002",0,0.001
"25_04_04_10_003",89,1.179
"25_04_04_10_004",8,1.268
"25_04_04_10_005",247,1.364
"25_04_06_02_001",1212,1.085
"25_04_06_02_002",1015,0.571
"25_04_06_02_003",1059,16.227
"25_04_06_02_004",818,0.111
"25_04_06_02_005",1259,0.056
"25_04_06_04_001",1124,1.037
"25_04_06_04_002",837,0.321
"25_04_06_04_003",937,0.421
"25_04_06_04_004",676,0.456
"25_04_06_04_005",1161,1.341
"25_04_06_06_001",1080,0.052
"25_04_06_06_002",649,1.101
"25_04_06_06_003",882,1.007
"25_04_06_06_004",564,0.893
"25_04_06_06_005",1150,0.012
"25_04_06_08_001",1057,1.247
"25_04_06_08_002",484,0.900
"25_04_06_08_003",861,1.089
"25_04_06_08_004",477,0.431
"25_04_06_08_005",1161,0.617
"25_04_06_10_001",811,0.693
"25_04_06_10_002",269,1.493
"25_04_06_10_003",647,0.771
"25_04_06_10_004",307,0.911
"25_04_06_10_005",925,0.029
"25_04_08_02_001",2179,0.389
"25_04_08_02_002",1782,0.940
"25_04_08_02_003",1908,0.092
"25_04_08_02_004",1501,0.972
"25_04_08_02_005",2244,0.023
"25_04_08_04_001",2185,0.016
"25_04_08_04_002",1626,1.165
"25_04_08_04_003",1900,0.034
"25_04_08_04_004",1393,0.042
"25_04_08_04_005",2246,0.159
"25_04_08_06_001",1855,0.146
"25_04_08_06_002",1337,0.834
"25_04_08_06_003",1624,1.129
"25_04_08_06_004",1168,1.110
"25_04_08_06_005",1954,1.075
"25_04_08_08_001",1596,0.989
"25_04_08_08_002",1044,0.119
"25_04_08_08_003",1360,1.243
"25_04_08_08_004",935,0.028
"25_04_08_08_005",1672,1.142
"25_04_08_10_001",1318,0.071
"25_04_08_10_002",764,1.035
"25_04_08_10_003",1118,0.554
"25_04_08_10_004",704,0.222
"25_04_08_10_005",1417,1.111
"25_04_10_02_001",3179,0.059
"25_04_10_02_002",2681,0.060
"25_04_10_02_003",2892,0.044
"25_04_10_02_004",2187,0.021
"25_04_10_02_005",3237,0.044
"25_04_10_04_001",2821,0.055
"25_04_10_04_002",2274,0.041
"25_04_10_04_003",2543,0.022
"25_04_10_04_004",1885,0.015
"25_04_10_04_005",2870,0.134
"25_04_10_06_001",2474,0.101
"25_04_10_06_002",1930,1.260
"25_04_10_06_003",2224,0.086
"25_04_10_06_004",1642,0.928
"25_04_10_06_005",2535,0.031
"25_04_10_08_001",2185,0.016
"25_04_10_08_002",1626,1.148
"25_04_10_08_003",1900,0.032
"25_04_10_08_004",1393,0.043
"25_04_10_08_005",2246,0.161
"25_04_10_10_001",1855,0.145
"25_04_10_10_002",1337,0.773
"25_04_10_10_003",1624,1.124
"25_04_10_10_004",1168,1.097
"25_04_10_10_005",1954,1.103
