"instance","opt","time"
"20_02_02_02_001",147,0.956
"20_02_02_02_002",102,0.046
"20_02_02_02_003",152,1.118
"20_02_02_02_004",136,1.615
"20_02_02_02_005",118,0.923
"20_02_02_04_001",17,0.059
"20_02_02_04_002",17,0.052
"20_02_02_04_003",32,0.065
"20_02_02_04_004",41,1.864
"20_02_02_04_005",34,0.394
"20_02_02_06_001",0,0.000
"20_02_02_06_002",0,0.000
"20_02_02_06_003",0,0.001
"20_02_02_06_004",0,0.000
"20_02_02_06_005",0,0.000
"20_02_02_08_001",0,0.000
"20_02_02_08_002",0,0.000
"20_02_02_08_003",0,0.000
"20_02_02_08_004",0,0.000
"20_02_02_08_005",0,0.000
"20_02_02_10_001",0,0.000
"20_02_02_10_002",0,0.000
"20_02_02_10_003",0,0.001
"20_02_02_10_004",0,0.000
"20_02_02_10_005",0,0.000
"20_02_04_02_001",695,0.433
"20_02_04_02_002",412,0.076
"20_02_04_02_003",785,0.706
"20_02_04_02_004",564,1.601
"20_02_04_02_005",476,0.720
"20_02_04_04_001",530,0.478
"20_02_04_04_002",254,0.053
"20_02_04_04_003",571,1.235
"20_02_04_04_004",461,0.727
"20_02_04_04_005",333,0.632
"20_02_04_06_001",341,0.661
"20_02_04_06_002",121,0.073
"20_02_04_06_003",377,0.570
"20_02_04_06_004",381,0.921
"20_02_04_06_005",209,0.593
"20_02_04_08_001",194,0.579
"20_02_04_08_002",36,0.028
"20_02_04_08_003",215,1.883
"20_02_04_08_004",322,1.927
"20_02_04_08_005",74,0.093
"20_02_04_10_001",227,0.624
"20_02_04_10_002",0,0.000
"20_02_04_10_003",145,0.071
"20_02_04_10_004",335,1.171
"20_02_04_10_005",0,0.001
"20_02_06_02_001",1741,1.177
"20_02_06_02_002",937,0.115
"20_02_06_02_003",1892,0.483
"20_02_06_02_004",1216,0.052
"20_02_06_02_005",1085,2.138
"20_02_06_04_001",1593,0.054
"20_02_06_04_002",739,1.453
"20_02_06_04_003",1732,1.955
"20_02_06_04_004",1200,0.498
"20_02_06_04_005",912,0.025
"20_02_06_06_001",1550,0.108
"20_02_06_06_002",518,1.043
"20_02_06_06_003",1628,0.851
"20_02_06_06_004",1201,0.018
"20_02_06_06_005",767,1.385
"20_02_06_08_001",1616,0.042
"20_02_06_08_002",328,1.197
"20_02_06_08_003",1572,0.040
"20_02_06_08_004",1297,0.112
"20_02_06_08_005",662,0.929
"20_02_06_10_001",1290,1.421
"20_02_06_10_002",137,0.959
"20_02_06_10_003",1132,1.003
"20_02_06_10_004",1091,1.137
"20_02_06_10_005",428,0.685
"20_02_08_02_001",3186,1.526
"20_02_08_02_002",1793,1.457
"20_02_08_02_003",3458,0.026
"20_02_08_02_004",2262,1.781
"20_02_08_02_005",1918,1.194
"20_02_08_04_001",3204,0.446
"20_02_08_04_002",1557,0.825
"20_02_08_04_003",3470,1.972
"20_02_08_04_004",2324,1.108
"20_02_08_04_005",1835,0.027
"20_02_08_06_001",2768,0.041
"20_02_08_06_002",1193,1.603
"20_02_08_06_003",2974,1.739
"20_02_08_06_004",2048,0.044
"20_02_08_06_005",1513,1.306
"20_02_08_08_001",2391,2.166
"20_02_08_08_002",843,0.038
"20_02_08_08_003",2487,2.043
"20_02_08_08_004",1805,1.302
"20_02_08_08_005",1240,0.804
"20_02_08_10_001",1994,1.041
"20_02_08_10_002",562,1.243
"20_02_08_10_003",2041,1.161
"20_02_08_10_004",1548,0.044
"20_02_08_10_005",936,0.295
"20_02_10_02_001",4651,0.051
"20_02_10_02_002",2862,0.035
"20_02_10_02_003",5054,0.069
"20_02_10_02_004",3322,0.025
"20_02_10_02_005",2876,0.157
"20_02_10_04_001",4152,1.640
"20_02_10_04_002",2395,0.028
"20_02_10_04_003",4483,0.056
"20_02_10_04_004",2943,0.057
"20_02_10_04_005",2508,0.035
"20_02_10_06_001",3667,0.042
"20_02_10_06_002",1966,1.367
"20_02_10_06_003",3975,2.282
"20_02_10_06_004",2618,0.054
"20_02_10_06_005",2155,0.025
"20_02_10_08_001",3204,0.449
"20_02_10_08_002",1557,0.842
"20_02_10_08_003",3470,1.952
"20_02_10_08_004",2324,1.118
"20_02_10_08_005",1825,0.032
"20_02_10_10_001",2768,0.042
"20_02_10_10_002",1193,1.570
"20_02_10_10_003",2974,1.699
"20_02_10_10_004",2048,0.047
"20_02_10_10_005",1513,1.287
