"instance","opt","time"
"20_04_02_02_001",144,0.070
"20_04_02_02_002",105,0.014
"20_04_02_02_003",151,0.031
"20_04_02_02_004",123,0.043
"20_04_02_02_005",118,0.021
"20_04_02_04_001",48,0.019
"20_04_02_04_002",25,0.026
"20_04_02_04_003",45,0.016
"20_04_02_04_004",51,0.012
"20_04_02_04_005",42,0.019
"20_04_02_06_001",0,0.000
"20_04_02_06_002",0,0.000
"20_04_02_06_003",0,0.001
"20_04_02_06_004",0,0.011
"20_04_02_06_005",0,0.000
"20_04_02_08_001",0,0.000
"20_04_02_08_002",0,0.001
"20_04_02_08_003",0,0.000
"20_04_02_08_004",2,0.023
"20_04_02_08_005",0,0.000
"20_04_02_10_001",0,0.000
"20_04_02_10_002",0,0.000
"20_04_02_10_003",0,0.000
"20_04_02_10_004",33,0.009
"20_04_02_10_005",0,0.000
"20_04_04_02_001",487,0.024
"20_04_04_02_002",296,0.027
"20_04_04_02_003",531,0.904
"20_04_04_02_004",378,0.276
"20_04_04_02_005",340,0.219
"20_04_04_04_001",386,0.028
"20_04_04_04_002",218,4.416
"20_04_04_04_003",415,0.043
"20_04_04_04_004",340,0.079
"20_04_04_04_005",269,0.026
"20_04_04_06_001",301,0.020
"20_04_04_06_002",129,0.012
"20_04_04_06_003",345,0.881
"20_04_04_06_004",314,0.695
"20_04_04_06_005",201,0.021
"20_04_04_08_001",300,0.854
"20_04_04_08_002",50,0.010
"20_04_04_08_003",265,0.090
"20_04_04_08_004",318,0.780
"20_04_04_08_005",121,0.532
"20_04_04_10_001",324,0.060
"20_04_04_10_002",0,0.001
"20_04_04_10_003",199,0.013
"20_04_04_10_004",367,0.393
"20_04_04_10_005",73,0.083
"20_04_06_02_001",1069,0.181
"20_04_06_02_002",629,0.009
"20_04_06_02_003",1146,0.009
"20_04_06_02_004",789,0.708
"20_04_06_02_005",707,0.018
"20_04_06_04_001",1033,0.011
"20_04_06_04_002",503,0.007
"20_04_06_04_003",1095,0.114
"20_04_06_04_004",793,0.720
"20_04_06_04_005",633,0.026
"20_04_06_06_001",1036,0.699
"20_04_06_06_002",389,0.336
"20_04_06_06_003",1073,0.271
"20_04_06_06_004",829,0.013
"20_04_06_06_005",581,0.010
"20_04_06_08_001",1070,0.779
"20_04_06_08_002",310,0.385
"20_04_06_08_003",1083,0.389
"20_04_06_08_004",866,0.009
"20_04_06_08_005",557,0.643
"20_04_06_10_001",887,0.521
"20_04_06_10_002",165,0.388
"20_04_06_10_003",869,0.049
"20_04_06_10_004",748,0.176
"20_04_06_10_005",421,0.327
"20_04_08_02_001",1866,0.026
"20_04_08_02_002",1120,0.014
"20_04_08_02_003",2028,0.720
"20_04_08_02_004",1370,0.729
"20_04_08_02_005",1200,0.011
"20_04_08_04_001",1904,0.064
"20_04_08_04_002",1015,0.060
"20_04_08_04_003",2047,0.214
"20_04_08_04_004",1405,0.018
"20_04_08_04_005",1171,0.216
"20_04_08_06_001",1681,0.476
"20_04_08_06_002",807,0.198
"20_04_08_06_003",1781,0.038
"20_04_08_06_004",1276,0.023
"20_04_08_06_005",1006,0.226
"20_04_08_08_001",1461,0.097
"20_04_08_08_002",636,0.535
"20_04_08_08_003",1552,0.064
"20_04_08_08_004",1136,0.314
"20_04_08_08_005",840,0.058
"20_04_08_10_001",1261,0.249
"20_04_08_10_002",447,0.637
"20_04_08_10_003",1302,0.026
"20_04_08_10_004",997,0.667
"20_04_08_10_005",678,0.033
"20_04_10_02_001",2641,0.027
"20_04_10_02_002",1686,0.016
"20_04_10_02_003",2856,0.000
"20_04_10_02_004",1930,0.020
"20_04_10_02_005",1706,0.009
"20_04_10_04_001",2381,0.025
"20_04_10_04_002",1451,0.045
"20_04_10_04_003",2568,0.020
"20_04_10_04_004",1737,0.015
"20_04_10_04_005",1509,0.018
"20_04_10_06_001",2150,0.022
"20_04_10_06_002",1220,0.580
"20_04_10_06_003",2297,0.027
"20_04_10_06_004",1564,0.015
"20_04_10_06_005",1331,0.121
"20_04_10_08_001",1904,0.061
"20_04_10_08_002",1015,0.061
"20_04_10_08_003",2047,0.216
"20_04_10_08_004",1405,0.016
"20_04_10_08_005",1171,0.215
"20_04_10_10_001",1681,0.467
"20_04_10_10_002",807,0.200
"20_04_10_10_003",1781,0.037
"20_04_10_10_004",1276,0.025
"20_04_10_10_005",1006,0.224
