# tau=1.0, RDD=0.2
##
# n  m
 25  6
# job ptime ddate
    1    64     3
    2    76     3
    3    10     7
    4    14    17
    5    53    15
    6     8     6
    7     7    10
    8    21    11
    9    47     8
   10    82    13
   11    58     1
   12    76    10
   13     6    14
   14    16     5
   15   100    18
   16    21    10
   17    89    16
   18    13    14
   19   100    11
   20     6     0
   21    88    14
   22     8    15
   23     1    17
   24    93    16
   25    60    15
