# tau=0.4, RDD=0.4
##
# n  m
 25  2
# job ptime ddate
    1    64   263
    2    76   259
    3    10   310
    4    14   427
    5    53   406
    6     8   303
    7     7   346
    8    21   352
    9    47   324
   10    82   376
   11    58   245
   12    76   341
   13     6   392
   14    16   291
   15   100   445
   16    21   352
   17    89   419
   18    13   390
   19   100   363
   20     6   230
   21    88   390
   22     8   409
   23     1   430
   24    93   418
   25    60   409
