# tau=0.6, RDD=0.2
##
# n  m
 25  6
# job ptime ddate
    1    85    84
    2    40    71
    3    79    70
    4    80   110
    5    92    75
    6    20    89
    7    34   103
    8    77    93
    9    28    79
   10    56    94
   11    48    89
   12    63    88
   13    37   109
   14    52    79
   15    96   100
   16    92    89
   17    64   100
   18    72    84
   19    15   106
   20    61    78
   21     2    81
   22    25   102
   23    14   107
   24    81    69
   25    16   108
