# tau=0.4, RDD=0.4
##
# n  m
 25  7
# job ptime ddate
    1    64    74
    2    76    73
    3    10    88
    4    14   122
    5    53   116
    6     8    86
    7     7    98
    8    21   100
    9    47    92
   10    82   107
   11    58    69
   12    76    97
   13     6   112
   14    16    82
   15   100   127
   16    21   100
   17    89   120
   18    13   111
   19   100   103
   20     6    65
   21    88   111
   22     8   117
   23     1   123
   24    93   119
   25    60   117
