# tau=0.2, RDD=0.6
##
# n  m
 25  7
# job ptime ddate
    1    49   188
    2    22   161
    3    96   129
    4    93   168
    5    15   127
    6    89   119
    7    65   113
    8    44   151
    9    62   114
   10    29   104
   11    79   167
   12    31   101
   13    45   173
   14    23   105
   15    19   168
   16    28    96
   17    56   190
   18    42    93
   19    17   144
   20    91   107
   21    11   113
   22    13   174
   23    50   167
   24    77   158
   25    99   192
