# tau=0.4, RDD=1.0
##
# n  m
 25  9
# job ptime ddate
    1    49   143
    2    22   108
    3    96    66
    4    93   117
    5    15    64
    6    89    54
    7    65    45
    8    44    94
    9    62    47
   10    29    34
   11    79   115
   12    31    30
   13    45   124
   14    23    35
   15    19   117
   16    28    23
   17    56   146
   18    42    20
   19    17    86
   20    91    37
   21    11    46
   22    13   124
   23    50   115
   24    77   104
   25    99   148
