# tau=1.0, RDD=0.2
##
# n  m
 25  3
# job ptime ddate
    1    98    25
    2    75    33
    3    91     5
    4    99    21
    5    67    27
    6    50    43
    7    17    20
    8    84    15
    9    89    38
   10     8    19
   11    65     0
   12    25    15
   13    63    27
   14    23    38
   15    71    10
   16    32    31
   17    33    22
   18    24    22
   19     8    14
   20    64    32
   21    23     8
   22    66    28
   23    52     1
   24    98    19
   25    29    32
