# tau=0.4, RDD=0.2
##
# n  m
 25  8
# job ptime ddate
    1    64    74
    2    76    73
    3    10    80
    4    14    95
    5    53    92
    6     8    79
    7     7    85
    8    21    85
    9    47    82
   10    82    88
   11    58    71
   12    76    84
   13     6    90
   14    16    77
   15   100    97
   16    21    85
   17    89    94
   18    13    90
   19   100    87
   20     6    70
   21    88    90
   22     8    93
   23     1    95
   24    93    94
   25    60    93
