# tau=0.6, RDD=0.8
##
# n  m
 25  3
# job ptime ddate
    1    85   142
    2    40    46
    3    79    38
    4    80   354
    5    92    77
    6    20   182
    7    34   297
    8    77   217
    9    28   105
   10    56   226
   11    48   186
   12    63   175
   13    37   345
   14    52   103
   15    96   273
   16    92   186
   17    64   273
   18    72   142
   19    15   316
   20    61   100
   21     2   125
   22    25   286
   23    14   326
   24    81    24
   25    16   337
