# tau=0.8, RDD=1.0
##
# n  m
 25  2
# job ptime ddate
    1    85   186
    2    40    60
    3    79    50
    4    80   465
    5    92   101
    6    20   239
    7    34   391
    8    77   285
    9    28   137
   10    56   297
   11    48   244
   12    63   230
   13    37   453
   14    52   136
   15    96   359
   16    92   245
   17    64   358
   18    72   186
   19    15   415
   20    61   132
   21     2   164
   22    25   376
   23    14   428
   24    81    32
   25    16   442
