# tau=0.8, RDD=0.8
##
# n  m
 25  2
# job ptime ddate
    1    85   159
    2    40    51
    3    79    43
    4    80   398
    5    92    87
    6    20   204
    7    34   334
    8    77   244
    9    28   118
   10    56   254
   11    48   209
   12    63   196
   13    37   388
   14    52   116
   15    96   307
   16    92   210
   17    64   307
   18    72   159
   19    15   355
   20    61   113
   21     2   140
   22    25   322
   23    14   366
   24    81    27
   25    16   378
